,RegionName,RegionID,City,State,lat,lon,Metro,CountyName,SizeRank,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,roi_29_18,perc_roi_29_18
6467,81611,93816,Aspen,CO,39.1911,Ê106.8175,Glenwood Springs,Pitkin County,8618,1783876.953,1910365.355,2033188.375,2152337.899,2256877.187,2383365.589,2506188.608,2625338.132,2729877.42,2856365.822,2979188.841,3098338.365,3202877.653,3329367.83,3452275.936,3672238.706,3878162.364,4106218.415,4330628.912,4551365.913,4757771.001,4985846.881,5210257.377,5397618.191,5648055.529,5861444.23,6071169.64,6277246.657,6527683.994,6741072.695,6950798.106,7156875.123,7407312.46,2197055.083,0.464749705
8557,94027,97518,Atherton,CA,37.4613,122.1977,San Francisco-Oakland-Hayward,San Mateo County,12336,530455.8008,704546.6208,857622.6787,989719.2751,1260114.299,1434205.119,1587281.177,1719377.773,1989772.797,2163863.618,2316939.678,2449038.218,2719438.217,2893588.797,3046801.482,3179076.149,3449699.868,3624066.645,3777418.66,3909791.214,4180462.951,4354829.728,4508181.744,4231466.166,4752019.151,4842684.414,4912694.371,4962229.249,5482782.234,5573447.497,5643457.454,5692992.333,6213545.318,1705363.574,0.412298282
275,10021,61635,New York,NY,40.730599,-73.986581,New York-Newark-Jersey City,New York County,326,4123238.893,4360921.258,4584946.293,4795213.662,4691880.911,4929563.277,5153588.311,5363855.68,5260522.929,5498205.295,5722230.329,5932497.698,5829164.947,6066847.312,6290872.347,6501139.715,6397806.964,6635489.33,6859514.364,7069781.733,6966448.982,7204131.347,7428156.382,7772055.513,7834855.567,8017396.497,8186013.833,8340697.53,8403497.584,8586038.514,8754655.851,8909339.548,8972139.602,1543983.22,0.238014409
8933,2108,58622,Boston,MA,42.360482,-71.059568,Boston-Cambridge-Newton,Suffolk County,13039,1374792.368,1533863.525,1676708.194,1803335.722,1978695.848,2137767.005,2280611.675,2407239.202,2582599.327,2741670.484,2884515.153,3011142.68,3186502.806,3345573.963,3488418.772,3615046.44,3790406.78,3949478.156,4092323.045,4218950.792,4394311.138,4553382.515,4696227.404,4564449.281,4933302.916,5027635.622,5105945.84,5168353.64,5537207.275,5631539.981,5709850.198,5772257.998,6141111.633,1444884.23,0.338086081
11972,11962,62309,Sagaponack,NY,40.9254,72.2781,New York-Newark-Jersey City,Suffolk County,20617,1116977.639,1289223.307,1430646.665,1541256.198,1709737.9,1881983.569,2023406.927,2134016.46,2302498.163,2474743.832,2616167.19,2726776.723,2895258.426,3067504.095,3208927.453,3319536.987,3488023.962,3660274.889,3801703.506,3912318.297,4080805.273,4253056.2,4394484.817,4048675.179,4584962.462,4634188.561,4652946.198,4641456.49,5177743.773,5226969.873,5245727.51,5234237.801,5770525.084,1376040.267,0.345312124
4107,33480,72636,Palm Beach,FL,26.7056,Ê80.0364,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,5210,1321727.619,1463922.562,1588690.432,1696043.976,1862533.976,2004728.918,2129496.789,2236850.332,2403339.996,2545534.604,2670302.101,2777655.272,2944144.899,3086339.469,3211106.967,3318460.138,3484949.764,3627144.334,3751911.832,3859265.003,4025754.63,4167949.2,4292716.698,4115835.081,4490051.388,4562733.793,4618219.361,4656639.947,5030856.254,5103538.658,5159024.227,5197444.812,5571661.119,1278944.422,0.3269985
4182,90210,96086,Beverly Hills,CA,34.07362,-118.400356,Los Angeles-Long Beach-Anaheim,Los Angeles County,5311,94230.82056,209113.753,305725.9501,384107.3596,614346.0612,729228.9937,825841.191,904222.6009,1134461.303,1249344.236,1345956.433,1424337.871,1654576.678,1769469.839,1866094.074,1944529.06,2174826.052,2289767.128,2386437.471,2464877.026,2695174.032,2810115.11,2906785.453,2598237.488,3045505.548,3087730.559,3112035.077,3118585.471,3565853.53,3608078.541,3632383.059,3638933.453,4086201.512,1179416.06,0.439002611
8405,94028,97519,Portola Valley,CA,37.3841,Ê122.2352,San Francisco-Oakland-Hayward,San Mateo County,12022,726804.4532,836261.6725,942288.0834,1044894.159,1183250.555,1292707.774,1398734.185,1501340.261,1639696.657,1749153.876,1855180.287,1957786.365,2096143.264,2205602.238,2311631.838,2414253.559,2552651.159,2662152.783,2768223.598,2870874.078,3009275.001,3118776.625,3224847.44,3247681.238,3426744.244,3522608.273,3615117.515,3704305.08,3883368.086,3979232.115,4071741.357,4160928.922,4339991.928,1115144.488,0.378689326
9333,11976,62321,Water Mill,NY,40.9178,Ê72.3479,New York-Newark-Jersey City,Suffolk County,13804,877492.8679,1012214.241,1138036.006,1254940.638,1321351.481,1456072.854,1581894.619,1698783.125,1765177.796,1899859.44,2025623.912,2142449.024,2208767.682,2343367.765,2469067.667,2585850.427,2652139.064,2786738.565,2912438.457,3029221.217,3095509.854,3230109.355,3355809.247,3407363.58,3580455.349,3679412.224,3769490.791,3850734.37,4023826.139,4122783.013,4212861.581,4294105.16,4467196.929,1111387.682,0.368640612
14,11201,62012,New York,NY,40.730599,-73.986581,New York-Newark-Jersey City,Kings County,19,653697.0294,786000.9321,902751.1212,1003944.975,1111326.024,1243629.926,1360380.115,1461573.969,1568955.018,1701258.92,1818009.109,1919202.995,2026586.962,2158918.263,2275730.582,2377054.889,2484617.08,2617173.868,2734176.944,2835623.683,2943258.311,3075815.1,3192818.175,3086735.929,3380179.619,3450613.468,3505644.436,3545377.16,3838820.851,3909254.7,3964285.668,4004018.391,4297462.082,1104643.907,0.382623411